		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
		p2006_all_mi	p2006_all_1	AME_p2006_all_1	p2006_all_2	AME_p2006_all_2	p2006_all_3	AME_p2006_all_3	p2006_all_4	AME_p2006_all_4	p2006_all_5	AME_p2006_all_5	p2006_all_6	AME_p2006_all_6
VARIABLES	LABELS	Panel Attrition Indicator	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1
														
age_o1	Age: first polynomial	0.151	0.151	0.030	0.153	0.031	0.154	0.031	0.149	0.030	0.149	0.030	0.148	0.030
		(0.072)	(0.071)	(0.014)	(0.072)	(0.014)	(0.072)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)
age_o2	Age: second polynomial	0.177	0.177	0.036	0.176	0.035	0.176	0.035	0.177	0.036	0.177	0.036	0.176	0.035
		(0.061)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)
age_o3	Age: thir polynomial	0.229	0.229	0.046	0.228	0.046	0.229	0.046	0.229	0.046	0.228	0.046	0.229	0.046
		(0.059)	(0.060)	(0.012)	(0.059)	(0.012)	(0.059)	(0.012)	(0.059)	(0.012)	(0.059)	(0.012)	(0.059)	(0.012)
2.sex	Sex = 2, Female	-0.130	-0.129	-0.026	-0.128	-0.026	-0.130	-0.026	-0.130	-0.026	-0.133	-0.027	-0.133	-0.027
		(0.120)	(0.120)	(0.024)	(0.120)	(0.024)	(0.120)	(0.024)	(0.120)	(0.024)	(0.120)	(0.024)	(0.120)	(0.024)
2.racehisp5	Race/ethnicity = 2, Black	-0.193	-0.198	-0.039	-0.198	-0.039	-0.199	-0.039	-0.190	-0.038	-0.186	-0.037	-0.189	-0.037
		(0.197)	(0.197)	(0.038)	(0.197)	(0.038)	(0.197)	(0.038)	(0.197)	(0.038)	(0.197)	(0.038)	(0.197)	(0.038)
3.racehisp5	Race/ethnicity = 3, Hispanic	-0.142	-0.141	-0.028	-0.142	-0.028	-0.146	-0.029	-0.146	-0.029	-0.139	-0.028	-0.140	-0.028
		(0.263)	(0.263)	(0.051)	(0.263)	(0.051)	(0.263)	(0.051)	(0.264)	(0.052)	(0.263)	(0.051)	(0.263)	(0.051)
4.racehisp5	Race/ethnicity = 4, Asian	-0.216	-0.215	-0.042	-0.222	-0.044	-0.215	-0.042	-0.213	-0.042	-0.206	-0.041	-0.223	-0.044
		(0.348)	(0.348)	(0.067)	(0.348)	(0.066)	(0.347)	(0.066)	(0.349)	(0.067)	(0.349)	(0.067)	(0.349)	(0.067)
5.racehisp5	Race/ethnicity = 5, Other	-0.119	-0.125	-0.025	-0.110	-0.022	-0.126	-0.025	-0.125	-0.025	-0.115	-0.023	-0.110	-0.022
		(0.605)	(0.605)	(0.119)	(0.602)	(0.119)	(0.605)	(0.119)	(0.606)	(0.119)	(0.607)	(0.120)	(0.604)	(0.119)
0.degree	Education = 0, Less than HS	0.176	0.177	0.037	0.173	0.036	0.170	0.035	0.180	0.038	0.180	0.038	0.175	0.037
		(0.190)	(0.190)	(0.040)	(0.191)	(0.040)	(0.189)	(0.040)	(0.190)	(0.040)	(0.191)	(0.041)	(0.190)	(0.040)
2.degree	Education = 2, Junior college	-0.033	-0.029	-0.006	-0.035	-0.007	-0.031	-0.006	-0.034	-0.007	-0.037	-0.008	-0.035	-0.007
		(0.215)	(0.215)	(0.044)	(0.216)	(0.044)	(0.215)	(0.044)	(0.215)	(0.044)	(0.215)	(0.044)	(0.215)	(0.044)
3.degree	Education = 3, BA	-0.045	-0.045	-0.009	-0.042	-0.008	-0.039	-0.008	-0.051	-0.010	-0.052	-0.011	-0.043	-0.009
		(0.176)	(0.176)	(0.036)	(0.176)	(0.036)	(0.176)	(0.036)	(0.176)	(0.036)	(0.176)	(0.036)	(0.176)	(0.036)
4.degree	Education = 4, Graduate	-0.320	-0.316	-0.061	-0.317	-0.062	-0.309	-0.060	-0.329	-0.064	-0.333	-0.065	-0.317	-0.062
		(0.249)	(0.249)	(0.047)	(0.248)	(0.046)	(0.249)	(0.047)	(0.249)	(0.047)	(0.248)	(0.046)	(0.249)	(0.047)
realinc	Real household income	0.153	0.154	0.031	0.156	0.031	0.154	0.031	0.150	0.030	0.153	0.031	0.149	0.030
		(0.083)	(0.083)	(0.017)	(0.083)	(0.017)	(0.082)	(0.017)	(0.082)	(0.017)	(0.083)	(0.017)	(0.083)	(0.017)
2.dwelown	R owns or rents home = 2, Pays rent	0.324	0.331	0.069	0.351	0.073	0.342	0.071	0.309	0.064	0.319	0.066	0.291	0.060
		(0.158)	(0.157)	(0.033)	(0.156)	(0.033)	(0.156)	(0.033)	(0.156)	(0.033)	(0.156)	(0.033)	(0.157)	(0.033)
3.dwelown	R owns or rents home = 3, Other	1.087	1.091	0.239	1.097	0.240	1.097	0.240	1.083	0.237	1.082	0.237	1.069	0.234
		(0.553)	(0.553)	(0.124)	(0.554)	(0.124)	(0.553)	(0.124)	(0.552)	(0.124)	(0.552)	(0.124)	(0.552)	(0.124)
2.marital	Marital status = 2, Widowed	0.747	0.754	0.160	0.744	0.158	0.751	0.159	0.742	0.158	0.745	0.158	0.750	0.159
		(0.239)	(0.240)	(0.053)	(0.239)	(0.053)	(0.240)	(0.053)	(0.239)	(0.053)	(0.239)	(0.053)	(0.239)	(0.053)
3.marital	Marital status = 3, Divorced	0.191	0.191	0.038	0.187	0.037	0.186	0.037	0.192	0.038	0.193	0.038	0.196	0.039
		(0.171)	(0.171)	(0.034)	(0.171)	(0.034)	(0.171)	(0.034)	(0.171)	(0.034)	(0.171)	(0.034)	(0.170)	(0.034)
4.marital	Marital status = 4, Separated	0.637	0.638	0.134	0.630	0.132	0.626	0.132	0.642	0.135	0.646	0.136	0.640	0.135
		(0.350)	(0.349)	(0.077)	(0.349)	(0.077)	(0.347)	(0.077)	(0.351)	(0.078)	(0.350)	(0.078)	(0.352)	(0.078)
5.marital	Marital status = 5, Never married	0.386	0.386	0.079	0.382	0.078	0.383	0.078	0.387	0.079	0.388	0.079	0.393	0.080
		(0.174)	(0.174)	(0.036)	(0.174)	(0.036)	(0.174)	(0.036)	(0.174)	(0.036)	(0.173)	(0.036)	(0.173)	(0.036)
2.borncitz	Citizenship status = 2, Born outside but ever-citizen	-0.815	-0.808	-0.142	-0.822	-0.144	-0.821	-0.144	-0.812	-0.143	-0.810	-0.143	-0.817	-0.144
		(0.317)	(0.316)	(0.047)	(0.317)	(0.047)	(0.316)	(0.047)	(0.317)	(0.047)	(0.317)	(0.047)	(0.317)	(0.047)
3.borncitz	Citizenship status = 3, Never-citizen	1.041	1.040	0.234	1.031	0.232	1.034	0.233	1.053	0.237	1.048	0.236	1.043	0.235
		(0.272)	(0.271)	(0.062)	(0.272)	(0.062)	(0.272)	(0.062)	(0.272)	(0.062)	(0.272)	(0.062)	(0.273)	(0.063)
2.region	Region = 2, Middle Atlantic	-0.175	-0.170	-0.034	-0.175	-0.035	-0.168	-0.034	-0.180	-0.036	-0.176	-0.035	-0.181	-0.036
		(0.378)	(0.379)	(0.077)	(0.379)	(0.077)	(0.379)	(0.077)	(0.377)	(0.077)	(0.378)	(0.077)	(0.377)	(0.077)
3.region	Region = 3, East North Central	-0.315	-0.308	-0.060	-0.317	-0.062	-0.311	-0.061	-0.319	-0.063	-0.315	-0.062	-0.320	-0.063
		(0.374)	(0.375)	(0.076)	(0.374)	(0.076)	(0.374)	(0.076)	(0.373)	(0.076)	(0.374)	(0.076)	(0.373)	(0.076)
4.region	Region = 4, West North Central	-0.159	-0.146	-0.029	-0.155	-0.031	-0.152	-0.031	-0.169	-0.034	-0.165	-0.033	-0.167	-0.034
		(0.416)	(0.416)	(0.084)	(0.416)	(0.084)	(0.416)	(0.084)	(0.415)	(0.084)	(0.415)	(0.084)	(0.414)	(0.084)
5.region	Region = 5, South Atlantic	-0.028	-0.023	-0.005	-0.026	-0.005	-0.023	-0.005	-0.034	-0.007	-0.031	-0.006	-0.033	-0.007
		(0.365)	(0.366)	(0.075)	(0.366)	(0.075)	(0.366)	(0.075)	(0.364)	(0.075)	(0.365)	(0.075)	(0.364)	(0.075)
6.region	Region = 6, East South Central	-0.193	-0.185	-0.037	-0.188	-0.038	-0.186	-0.037	-0.199	-0.040	-0.194	-0.039	-0.205	-0.041
		(0.427)	(0.428)	(0.086)	(0.428)	(0.086)	(0.428)	(0.086)	(0.426)	(0.086)	(0.427)	(0.086)	(0.427)	(0.086)
7.region	Region = 7, West South Central	0.109	0.115	0.024	0.110	0.023	0.114	0.024	0.106	0.022	0.108	0.023	0.099	0.021
		(0.385)	(0.386)	(0.080)	(0.386)	(0.080)	(0.386)	(0.080)	(0.385)	(0.080)	(0.385)	(0.080)	(0.384)	(0.080)
8.region	Region = 8, Mountain	0.017	0.023	0.005	0.014	0.003	0.021	0.004	0.012	0.003	0.018	0.004	0.015	0.003
		(0.392)	(0.392)	(0.081)	(0.392)	(0.081)	(0.392)	(0.081)	(0.391)	(0.081)	(0.391)	(0.081)	(0.391)	(0.081)
9.region	Region = 9, Pacific	0.194	0.198	0.042	0.192	0.040	0.198	0.042	0.190	0.040	0.192	0.040	0.194	0.041
		(0.375)	(0.376)	(0.078)	(0.376)	(0.078)	(0.376)	(0.078)	(0.375)	(0.078)	(0.375)	(0.078)	(0.375)	(0.078)
wordsum	Vocabulary knowledge	-0.138	-0.139	-0.028	-0.139	-0.028	-0.142	-0.029	-0.134	-0.027	-0.133	-0.027	-0.141	-0.028
		(0.050)	(0.050)	(0.010)	(0.050)	(0.010)	(0.050)	(0.010)	(0.050)	(0.010)	(0.050)	(0.010)	(0.050)	(0.010)
intage	Interviewer's age	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000
		(0.006)	(0.006)	(0.001)	(0.006)	(0.001)	(0.006)	(0.001)	(0.006)	(0.001)	(0.006)	(0.001)	(0.006)	(0.001)
2.intsex	Interviewer's sex = 2, Female	-0.219	-0.220	-0.045	-0.220	-0.045	-0.218	-0.045	-0.221	-0.045	-0.217	-0.045	-0.219	-0.045
		(0.161)	(0.161)	(0.033)	(0.161)	(0.033)	(0.161)	(0.033)	(0.161)	(0.033)	(0.161)	(0.033)	(0.161)	(0.033)
2.intethn	Interviewer's race/ethnicity = 2, Black	0.031	0.031	0.006	0.027	0.005	0.030	0.006	0.033	0.007	0.033	0.007	0.033	0.007
		(0.198)	(0.198)	(0.040)	(0.198)	(0.040)	(0.198)	(0.040)	(0.197)	(0.040)	(0.198)	(0.040)	(0.198)	(0.040)
3.intethn	Interviewer's race/ethnicity = 3, Hispanic	-0.119	-0.130	-0.026	-0.109	-0.022	-0.135	-0.027	-0.105	-0.021	-0.106	-0.021	-0.126	-0.025
		(0.274)	(0.273)	(0.053)	(0.274)	(0.053)	(0.273)	(0.053)	(0.274)	(0.053)	(0.274)	(0.053)	(0.272)	(0.053)
4.intethn	Interviewer's race/ethnicity = 4, Asian	0.397	0.404	0.085	0.388	0.082	0.393	0.083	0.407	0.086	0.398	0.084	0.393	0.083
		(0.315)	(0.317)	(0.069)	(0.314)	(0.068)	(0.313)	(0.068)	(0.318)	(0.069)	(0.313)	(0.068)	(0.313)	(0.068)
intyrs	intyrs	-0.017	-0.017	-0.003	-0.017	-0.003	-0.017	-0.003	-0.017	-0.003	-0.017	-0.003	-0.017	-0.003
		(0.017)	(0.017)	(0.003)	(0.017)	(0.003)	(0.017)	(0.003)	(0.017)	(0.003)	(0.017)	(0.003)	(0.017)	(0.003)
lngthinv	Length of interview	-0.043	-0.043	-0.009	-0.044	-0.009	-0.042	-0.008	-0.043	-0.009	-0.042	-0.009	-0.043	-0.009
